CHN,350,347,292
DEN,179,241,177
NED,287,340,413
USA,2638,1641,1358
FIN,198,270,432
NOR,378,361,294
ROU,161,200,292
EST,13,12,25
FRA,501,610,666
MAR,6,5,12
ESP,110,243,136
EGY,7,8,12
IRI,18,21,29
BUL,54,144,144
ITA,575,531,530
CHA,0,0,0
AZE,7,12,24
SUD,0,1,0
RUS,390,366,408
ARG,91,92,91
CUB,164,129,116
BLR,24,44,71
GRE,62,109,84
CMR,19,1,1
TUR,40,27,28
CHI,3,9,20
MEX,30,26,54
URS,1082,732,689
NCA,0,0,0
HUN,432,331,371
NGR,23,30,46
ALG,5,4,8
KUW,0,0,2
BRN,1,1,1
PAK,42,45,34
IRQ,0,0,1
UAR,0,1,1
LIB,0,2,2
QAT,0,1,4
MAS,0,11,5
GER,745,674,746
CAN,463,438,451
IRL,9,13,13
AUS,348,455,516
RSA,32,47,52
ERI,0,0,1
TAN,0,2,0
JOR,1,0,0
TUN,3,3,7
LBA,0,0,0
BEL,98,197,173
DJI,0,0,1
PLE,0,0,0
COM,0,0,0
KAZ,20,25,32
BRU,0,0,0
IND,138,19,40
KSA,0,1,5
SYR,1,1,1
MDV,0,0,0
ETH,22,9,22
UAE,1,0,1
YAR,0,0,0
INA,11,17,13
PHI,0,3,7
SGP,1,4,4
UZB,10,7,17
KGZ,0,1,2
TJK,1,1,2
EUN,126,71,81
JPN,247,309,357
CGO,0,0,0
SUI,175,247,268
BRA,109,175,191
FRG,159,194,233
GDR,397,327,281
MON,0,0,1
ISR,1,1,7
URU,31,2,30
SWE,479,522,535
ISV,0,1,0
SRI,0,2,0
ARM,2,5,9
CIV,1,1,1
KEN,34,41,31
BEN,0,0,0
UKR,47,52,100
GBR,678,739,651
GHA,0,1,22
SOM,0,0,0
LAT,3,19,13
NIG,0,1,1
MLI,0,0,0
AFG,0,0,2
POL,117,195,253
CRC,1,1,2
PAN,1,0,2
GEO,8,6,18
SLO,8,13,27
CRO,58,54,37
GUY,0,0,1
NZL,90,56,82
POR,4,11,26
PAR,0,17,0
ANG,0,0,0
VEN,2,3,10
COL,5,9,14
BAN,0,0,0
PER,1,14,0
ESA,0,0,0
PUR,1,2,5
UGA,2,3,2
HON,0,0,0
ECU,1,1,0
TKM,0,0,0
MRI,0,0,1
SEY,0,0,0
TCH,81,225,182
LUX,4,4,0
MTN,0,0,0
CZE,42,36,66
SKN,0,0,0
TTO,7,8,17
DOM,3,2,2
VIN,0,0,0
JAM,38,75,44
LBR,0,0,0
SUR,1,0,1
NEP,1,0,0
MGL,2,10,14
AUT,108,186,156
PLW,0,0,0
LTU,6,7,47
TOG,0,0,1
NAM,0,4,0
AHO,0,1,0
ISL,0,15,2
ASA,0,0,0
SAM,0,0,0
RWA,0,0,0
DMA,0,0,0
HAI,1,1,5
MLT,0,0,0
CYP,0,1,0
GUI,0,0,0
BIZ,0,0,0
YMD,0,0,0
KOR,221,232,185
THA,9,8,13
BER,0,0,1
ANZ,20,4,5
SCG,12,26,26
SLE,0,0,0
PNG,0,0,0
YEM,0,0,0
IOA,1,1,3
OMA,0,0,0
FIJ,13,0,0
VAN,0,0,0
MDA,0,3,5
YUG,130,167,93
BAH,14,11,15
GUA,0,1,0
SRB,15,29,41
IVB,0,0,0
MOZ,1,0,1
CAF,0,0,0
MAD,0,0,0
MAL,0,0,0
BIH,0,0,0
GUM,0,0,0
CAY,0,0,0
SVK,15,19,13
BAR,0,0,1
GBS,0,0,0
TLS,0,0,0
COD,0,0,0
GAB,0,1,0
SMR,0,0,0
LAO,0,0,0
BOT,0,0,0
ROT,0,0,0
CAM,0,0,0
PRK,16,16,35
SOL,0,0,0
SEN,0,1,0
CPV,0,0,0
CRT,0,0,0
GEQ,0,0,0
BOL,0,0,0
SAA,0,0,0
AND,0,0,0
ANT,0,0,0
ZIM,17,4,1
GRN,1,1,0
HKG,1,2,1
LCA,0,0,0
FSM,0,0,0
MYA,0,0,0
MAW,0,0,0
ZAM,0,1,1
RHO,0,0,0
TPE,3,28,18
STP,0,0,0
MKD,0,0,1
BOH,0,1,11
TGA,0,1,0
LIE,2,2,5
MNE,0,13,0
GAM,0,0,0
COK,0,0,0
ALB,0,0,0
WIF,0,0,5
SWZ,0,0,0
BUR,0,0,0
NBO,0,0,0
BDI,1,1,0
ARU,0,0,0
NRU,0,0,0
VNM,0,0,0
VIE,1,3,0
BHU,0,0,0
MHL,0,0,0
KIR,0,0,0
UNK,0,0,0
TUV,0,0,0
NFL,0,0,0
KOS,1,0,0
SSD,0,0,0
LES,0,0,0
